
2022/10/20 (12:33:20) | ===> btop++ v.1.2.12
2022/10/20 (12:33:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/21 (00:04:30) | ===> btop++ v.1.2.12
2022/10/21 (00:04:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/21 (00:15:14) | ===> btop++ v.1.2.12
2022/10/21 (00:15:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (20:02:14) | ===> btop++ v.1.2.12
2022/10/22 (20:02:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (20:02:31) | ===> btop++ v.1.2.12
2022/10/22 (20:02:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/10/22 (20:03:04) | ERROR: Stall in Runner thread, restarting!
2022/10/22 (20:03:33) | WARNING: Failed to join _runner thread on exit!

2022/10/22 (20:04:42) | ===> btop++ v.1.2.12
2022/10/22 (20:04:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (20:04:48) | ===> btop++ v.1.2.12
2022/10/22 (20:04:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (20:05:08) | ===> btop++ v.1.2.12
2022/10/22 (20:05:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (20:18:05) | ===> btop++ v.1.2.12
2022/10/22 (20:18:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (20:48:13) | ===> btop++ v.1.2.12
2022/10/22 (20:48:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (21:36:06) | ===> btop++ v.1.2.12
2022/10/22 (21:36:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/22 (23:01:41) | ===> btop++ v.1.2.12
2022/10/22 (23:01:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/23 (19:47:34) | ===> btop++ v.1.2.12
2022/10/23 (19:47:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/23 (19:48:02) | ===> btop++ v.1.2.12
2022/10/23 (19:48:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/23 (19:51:07) | ===> btop++ v.1.2.12
2022/10/23 (19:51:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/24 (21:26:11) | ===> btop++ v.1.2.12
2022/10/24 (21:26:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/25 (13:23:56) | ===> btop++ v.1.2.12
2022/10/25 (13:23:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/25 (21:49:06) | ===> btop++ v.1.2.12
2022/10/25 (21:49:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/26 (21:37:00) | ===> btop++ v.1.2.12
2022/10/26 (21:37:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/27 (11:09:01) | ===> btop++ v.1.2.12
2022/10/27 (11:09:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/27 (16:47:56) | ===> btop++ v.1.2.12
2022/10/27 (16:47:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/27 (16:47:56) | ===> btop++ v.1.2.12
2022/10/27 (16:47:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/27 (21:29:51) | ===> btop++ v.1.2.12
2022/10/27 (21:29:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/27 (22:53:37) | ===> btop++ v.1.2.12
2022/10/27 (22:53:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (01:12:06) | ===> btop++ v.1.2.12
2022/10/28 (01:12:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (01:23:19) | ===> btop++ v.1.2.12
2022/10/28 (01:23:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (01:24:40) | ===> btop++ v.1.2.12
2022/10/28 (01:24:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (01:25:44) | ===> btop++ v.1.2.12
2022/10/28 (01:25:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (14:18:54) | ===> btop++ v.1.2.12
2022/10/28 (14:18:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (22:59:02) | ===> btop++ v.1.2.12
2022/10/28 (22:59:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (23:02:41) | ===> btop++ v.1.2.12
2022/10/28 (23:02:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (23:04:25) | ===> btop++ v.1.2.12
2022/10/28 (23:04:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (23:05:02) | ===> btop++ v.1.2.12
2022/10/28 (23:05:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (23:06:00) | ===> btop++ v.1.2.12
2022/10/28 (23:06:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (23:10:47) | ===> btop++ v.1.2.12
2022/10/28 (23:10:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/28 (23:11:16) | ===> btop++ v.1.2.12
2022/10/28 (23:11:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/29 (13:48:29) | ===> btop++ v.1.2.12
2022/10/29 (13:48:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/29 (13:48:32) | ===> btop++ v.1.2.12
2022/10/29 (13:48:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/29 (13:54:21) | ===> btop++ v.1.2.12
2022/10/29 (13:54:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/29 (13:54:54) | ===> btop++ v.1.2.12
2022/10/29 (13:54:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/29 (22:15:52) | ===> btop++ v.1.2.12
2022/10/29 (22:15:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/29 (23:52:04) | ===> btop++ v.1.2.12
2022/10/29 (23:52:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/30 (13:04:53) | ===> btop++ v.1.2.12
2022/10/30 (13:04:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/30 (23:53:45) | ===> btop++ v.1.2.12
2022/10/30 (23:53:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/31 (14:52:21) | ===> btop++ v.1.2.12
2022/10/31 (14:52:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/31 (14:52:25) | ===> btop++ v.1.2.12
2022/10/31 (14:52:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
